N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
101,한미약품,"247,000","9,000",-3.52%,"2,500","30,425","12,318",13.05,"46,404",39.34,1.65,
102,한화시스템,"15,300",150,-0.97%,"5,000","28,905","188,919",2.10,"685,731",18.55,9.35,
103,롯데지주,"27,100",850,-3.04%,200,"28,430","104,909",7.72,"150,893",14.12,-3.03,
104,GS리테일,"27,100",800,-2.87%,"1,000","28,379","104,718",8.11,"321,019",2.74,7.50,
105,호텔신라,"71,300","2,200",-2.99%,"5,000","27,984","39,248",12.73,"376,346",-27.37,-36.74,
106,현대미포조선,"69,800","2,300",-3.19%,"5,000","27,880","39,942",11.01,"314,965",-18.13,-0.84,
107,BGF리테일,"157,000","4,000",+2.61%,"1,000","27,136","17,284",32.25,"46,120",19.64,18.60,
108,CJ대한통운,"117,500","3,500",-2.89%,"5,000","26,804","22,812",21.05,"44,623",91.01,3.89,
109,한전기술,"70,000","1,300",-1.82%,200,"26,754","38,220",2.00,"440,430",263.16,N/A,
110,포스코인터내셔널,"21,400",650,-2.95%,"5,000","26,402","123,375",7.26,"1,056,393",8.65,7.69,
111,한솔케미칼,"232,500","13,000",-5.30%,"5,000","26,354","11,335",43.14,"114,061",18.14,24.50,
112,에스원,"69,100","1,800",-2.54%,500,"26,257","37,999",52.88,"49,351",17.27,10.48,
113,동서,"26,300","2,600",-9.00%,500,"26,221","99,700",2.85,"696,355",24.69,8.61,
114,팬오션,"4,900",220,-4.30%,"1,000","26,194","534,570",11.35,"3,286,109",8.42,3.25,
115,BNK금융지주,"7,970",330,-3.98%,"5,000","25,977","325,935",39.93,"2,096,508",3.19,6.11,
116,한화생명,"2,940",170,-5.47%,"5,000","25,535","868,530",8.14,"3,299,461",3.34,1.90,
117,두산퓨얼셀,"38,200","1,400",-3.54%,100,"25,019","65,494",13.90,"625,843",764.00,4.18,
118,한화에어로스페이스,"48,500",150,+0.31%,"5,000","24,556","50,630",16.97,"658,954",8.80,4.78,
119,만도,"52,200","1,500",-2.79%,"1,000","24,512","46,957",19.30,"313,217",11.00,0.37,
120,제일기획,"21,200",500,-2.30%,200,"24,389","115,041",31.63,"232,852",12.49,16.11,
121,LG화학우,"310,500","8,500",-2.66%,"5,000","23,874","7,689",71.39,"16,168",8.09,N/A,
122,키움증권,"90,000","3,700",-3.95%,"5,000","23,598","26,220",25.51,"89,476",2.59,27.63,
123,현대차우,"96,100",100,+0.10%,"5,000","23,407","24,357",58.26,"63,300",4.87,N/A,
124,솔루스첨단소재,"76,100","1,900",-2.44%,100,"23,279","30,590",6.96,"195,114",-299.61,-5.10,
125,KODEX 200선물인버스2X,"2,540",125,+5.18%,0,"23,033","906,800",7.27,"347,309,485",N/A,N/A,
126,신세계,"231,500","2,000",-0.86%,"5,000","22,792","9,845",24.35,"74,278",8.70,-2.81,
127,현대해상,"25,350",950,-3.61%,500,"22,663","89,400",26.67,"510,312",5.92,7.13,
128,대우건설,"5,450",240,-4.22%,"5,000","22,651","415,623",10.95,"1,684,984",4.63,11.06,
129,CJ,"76,700","1,300",-1.67%,"5,000","22,379","29,177",17.02,"118,758",66.46,1.89,
130,롯데쇼핑,"78,800","2,700",-3.31%,"5,000","22,292","28,289",11.25,"111,625",-8.38,-7.70,
131,SK케미칼,"126,500","13,000",-9.32%,"5,000","22,290","17,621",17.35,"270,476",60.30,30.49,
132,DL이앤씨,"113,500","1,500",-1.30%,"5,000","21,972","19,359",24.46,"226,110",N/A,N/A,
133,씨에스윈드,"51,200","4,000",-7.25%,500,"21,592","42,171",11.26,"516,125",46.46,8.19,
134,한화,"28,500",900,-3.06%,"5,000","21,363","74,959",15.85,"381,994",4.82,4.79,
135,OCI,"88,400","3,400",-3.70%,"5,000","21,083","23,849",15.29,"271,129",10.54,-9.89,
